",""oversampling_altorithm"",""classifier"",""kFold"",""undersamplingFactor"",""kSMOTE"",""nRatioSMOTE"",""AUCAverage"""
"454,""asn"",""logistic_regression"",""4"",""0.95"",""2"",""1"",""0.927779467474526"""
"455,""smote"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.930754974965886"""
"456,""asn"",""logistic_regression"",""4"",""0.85"",""25"",""1"",""0.927482889462782"""
"457,""smote"",""logistic_regression"",""4"",""0.85"",""60"",""1"",""0.942090272158453"""
"458,""smote"",""xgboost"",""4"",""0.8"",""25"",""1"",""0.932964783907829"""
"459,""asn"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.932896248879995"""
"460,""smote"",""logistic_regression"",""4"",""0.9"",""30"",""1"",""0.939501687936991"""
"461,""smote"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.941778603393222"""
"462,""smote"",""xgboost"",""4"",""0.9"",""8"",""1"",""0.930867564313997"""
"463,""asn"",""xgboost"",""4"",""0.99"",""35"",""1"",""0.934157899506435"""
"464,""asn"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.923326500296307"""
"465,""smote"",""xgboost"",""4"",""0.8"",""10"",""1"",""0.92975870083878"""
"466,""smote"",""xgboost"",""4"",""0.9"",""4"",""1"",""0.936021744465108"""
"467,""asn"",""logistic_regression"",""4"",""0.9"",""50"",""1"",""0.925809267396468"""
"468,""asn"",""xgboost"",""4"",""0.99"",""10"",""1"",""0.933669744656998"""
"469,""smote"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.940248403737439"""
"470,""smote"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.938879647407219"""
"471,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.936100474537674"""
"472,""smote"",""logistic_regression"",""4"",""0.99"",""8"",""1"",""0.93978915173804"""
"473,""asn"",""logistic_regression"",""4"",""0.9"",""4"",""1"",""0.927814869967856"""
"474,""smote"",""xgboost"",""4"",""0.8"",""70"",""1"",""0.931821988643468"""
"475,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.92565413878107"""
"476,""smote"",""logistic_regression"",""4"",""0.8"",""4"",""1"",""0.942676611870607"""
"477,""asn"",""xgboost"",""4"",""0.9"",""35"",""1"",""0.920500612307"""
"478,""asn"",""logistic_regression"",""4"",""0.8"",""60"",""1"",""0.929221523903128"""
"479,""asn"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.923426350264568"""
"480,""smote"",""logistic_regression"",""4"",""0.85"",""30"",""1"",""0.94021450929605"""
"481,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.926821338879865"""
"482,""asn"",""xgboost"",""4"",""0.85"",""16"",""1"",""0.921669709860671"""
"483,""smote"",""logistic_regression"",""4"",""0.9"",""70"",""1"",""0.942625863888502"""
"484,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.926799685230571"""
"485,""smote"",""logistic_regression"",""4"",""0.85"",""8"",""1"",""0.940821629604115"""
"486,""smote"",""xgboost"",""4"",""0.8"",""60"",""1"",""0.929676777798546"""
"487,""smote"",""xgboost"",""4"",""0.95"",""50"",""1"",""0.936388772137251"""
"488,""smote"",""xgboost"",""4"",""0.8"",""35"",""1"",""0.930630894433955"""
"489,""asn"",""logistic_regression"",""4"",""0.9"",""12"",""1"",""0.925632627640432"""
"490,""smote"",""xgboost"",""4"",""0.95"",""8"",""1"",""0.932673482793875"""
"491,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.928472378724514"""
"492,""asn"",""xgboost"",""4"",""0.95"",""10"",""1"",""0.924024547430404"""
"493,""asn"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.918789347315684"""
"494,""asn"",""logistic_regression"",""4"",""0.8"",""50"",""1"",""0.922426485329099"""
"495,""smote"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.942350108087343"""
"496,""smote"",""logistic_regression"",""4"",""0.85"",""4"",""1"",""0.941979078069132"""
"497,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.943667022268917"""
"498,""smote"",""logistic_regression"",""4"",""0.8"",""12"",""1"",""0.943164019626141"""
"499,""asn"",""xgboost"",""4"",""0.95"",""6"",""1"",""0.925608453023676"""
"500,""asn"",""logistic_regression"",""4"",""0.9"",""60"",""1"",""0.927865306725492"""
