",""oversampling_altorithm"",""classifier"",""kFold"",""undersamplingFactor"",""kSMOTE"",""nRatioSMOTE"",""AUCAverage"""
"101,""smote"",""logistic_regression"",""4"",""0.99"",""6"",""1"",""0.943629103353977"""
"102,""smote"",""xgboost"",""4"",""0.85"",""6"",""1"",""0.929276556979275"""
"103,""smote"",""xgboost"",""4"",""0.8"",""8"",""1"",""0.933512537052513"""
"104,""smote"",""xgboost"",""4"",""0.95"",""4"",""1"",""0.935783570252141"""
"105,""smote"",""logistic_regression"",""4"",""0.9"",""35"",""1"",""0.940545643335628"""
"106,""asn"",""xgboost"",""4"",""0.95"",""30"",""1"",""0.927162997899982"""
"107,""smote"",""logistic_regression"",""4"",""0.8"",""2"",""1"",""0.943321943297953"""
"108,""asn"",""xgboost"",""4"",""0.95"",""40"",""1"",""0.923075898299896"""
"109,""asn"",""xgboost"",""4"",""0.8"",""10"",""1"",""0.920885923290042"""
"110,""asn"",""logistic_regression"",""4"",""0.95"",""8"",""1"",""0.928267232581059"""
"111,""smote"",""logistic_regression"",""4"",""0.8"",""40"",""1"",""0.939355694150448"""
"112,""asn"",""xgboost"",""4"",""0.95"",""40"",""1"",""0.924485352399628"""
"113,""smote"",""xgboost"",""4"",""0.99"",""40"",""1"",""0.944114124882272"""
"114,""smote"",""logistic_regression"",""4"",""0.95"",""25"",""1"",""0.942333812643306"""
"115,""smote"",""xgboost"",""4"",""0.8"",""4"",""1"",""0.929057784225011"""
"116,""smote"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.941239125841062"""
"117,""smote"",""xgboost"",""4"",""0.8"",""30"",""1"",""0.935787024426127"""
"118,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.943569263179705"""
"119,""smote"",""xgboost"",""4"",""0.95"",""30"",""1"",""0.940709328850808"""
"120,""asn"",""logistic_regression"",""4"",""0.8"",""40"",""1"",""0.925075695242858"""
"121,""smote"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.944474578036976"""
"122,""asn"",""xgboost"",""4"",""0.85"",""12"",""1"",""0.922886415081667"""
"123,""asn"",""xgboost"",""4"",""0.85"",""50"",""1"",""0.919286228928928"""
"124,""asn"",""logistic_regression"",""4"",""0.9"",""16"",""1"",""0.927226876246433"""
"125,""asn"",""xgboost"",""4"",""0.8"",""8"",""1"",""0.918521876419835"""
"126,""smote"",""xgboost"",""4"",""0.8"",""2"",""1"",""0.930603045156694"""
"127,""asn"",""logistic_regression"",""4"",""0.8"",""40"",""1"",""0.927468146806746"""
"128,""smote"",""logistic_regression"",""4"",""0.95"",""4"",""1"",""0.941078888357608"""
"129,""smote"",""xgboost"",""4"",""0.85"",""20"",""1"",""0.933491123494642"""
"130,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.941474504283568"""
"131,""smote"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.938494324178679"""
"132,""smote"",""xgboost"",""4"",""0.9"",""10"",""1"",""0.929407614540557"""
"133,""asn"",""logistic_regression"",""4"",""0.9"",""20"",""1"",""0.924602512581361"""
"134,""asn"",""logistic_regression"",""4"",""0.99"",""20"",""1"",""0.935512373549991"""
"135,""smote"",""logistic_regression"",""4"",""0.85"",""10"",""1"",""0.940518443272722"""
"136,""asn"",""logistic_regression"",""4"",""0.8"",""70"",""1"",""0.925857849464842"""
"137,""smote"",""logistic_regression"",""4"",""0.99"",""25"",""1"",""0.941861018481407"""
"138,""smote"",""logistic_regression"",""4"",""0.99"",""8"",""1"",""0.939141112379889"""
"139,""asn"",""logistic_regression"",""4"",""0.95"",""25"",""1"",""0.930444054654919"""
"140,""smote"",""logistic_regression"",""4"",""0.95"",""10"",""1"",""0.945449952439286"""
"141,""smote"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.938874219468068"""
"142,""smote"",""logistic_regression"",""4"",""0.95"",""60"",""1"",""0.938655660048672"""
"143,""smote"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.944008729120486"""
"144,""smote"",""logistic_regression"",""4"",""0.95"",""6"",""1"",""0.942717686684416"""
"145,""smote"",""logistic_regression"",""4"",""0.8"",""20"",""1"",""0.939917323461023"""
"146,""asn"",""xgboost"",""4"",""0.95"",""2"",""1"",""0.929206802876141"""
"147,""asn"",""xgboost"",""4"",""0.99"",""30"",""1"",""0.935093540722217"""
"148,""smote"",""xgboost"",""4"",""0.8"",""40"",""1"",""0.935355707466542"""
"149,""asn"",""logistic_regression"",""4"",""0.9"",""6"",""1"",""0.926008758877402"""
"150,""asn"",""logistic_regression"",""4"",""0.8"",""20"",""1"",""0.923714473003234"""
"151,""smote"",""xgboost"",""4"",""0.8"",""4"",""1"",""0.932528026114402"""
"152,""smote"",""logistic_regression"",""4"",""0.8"",""30"",""1"",""0.938734595638815"""
"153,""smote"",""logistic_regression"",""4"",""0.99"",""10"",""1"",""0.942169822802394"""
"154,""asn"",""xgboost"",""4"",""0.8"",""30"",""1"",""0.917381024897391"""
"155,""smote"",""logistic_regression"",""4"",""0.95"",""40"",""1"",""0.940596431369586"""
"156,""asn"",""xgboost"",""4"",""0.99"",""2"",""1"",""0.931286704714327"""
"157,""smote"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.942416262390443"""
"158,""smote"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.938494324178679"""
"159,""smote"",""xgboost"",""4"",""0.9"",""10"",""1"",""0.929407614540557"""
"160,""asn"",""logistic_regression"",""4"",""0.85"",""16"",""1"",""0.925111343881268"""
"161,""asn"",""logistic_regression"",""4"",""0.95"",""8"",""1"",""0.929260889390613"""
"162,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.92559245853536"""
"163,""asn"",""logistic_regression"",""4"",""0.9"",""8"",""1"",""0.925117547512793"""
"164,""smote"",""logistic_regression"",""4"",""0.99"",""4"",""1"",""0.941254836598269"""
"165,""smote"",""logistic_regression"",""4"",""0.9"",""8"",""1"",""0.940419996453649"""
"166,""smote"",""logistic_regression"",""4"",""0.99"",""10"",""1"",""0.940940942969344"""
"167,""asn"",""logistic_regression"",""4"",""0.85"",""70"",""1"",""0.926798036858608"""
"168,""asn"",""logistic_regression"",""4"",""0.85"",""50"",""1"",""0.924319204302086"""
"169,""asn"",""xgboost"",""4"",""0.85"",""40"",""1"",""0.920087047890017"""
"170,""asn"",""xgboost"",""4"",""0.9"",""2"",""1"",""0.919609770637613"""
"171,""smote"",""xgboost"",""4"",""0.85"",""6"",""1"",""0.928957378490941"""
"172,""smote"",""xgboost"",""4"",""0.99"",""6"",""1"",""0.938504734599462"""
"173,""smote"",""xgboost"",""4"",""0.85"",""50"",""1"",""0.931609817270574"""
"174,""smote"",""xgboost"",""4"",""0.8"",""12"",""1"",""0.93515141051096"""
"175,""smote"",""xgboost"",""4"",""0.99"",""16"",""1"",""0.945697914569084"""
"176,""asn"",""xgboost"",""4"",""0.9"",""60"",""1"",""0.920390104972061"""
"177,""smote"",""xgboost"",""4"",""0.8"",""25"",""1"",""0.92636502362911"""
"178,""smote"",""xgboost"",""4"",""0.95"",""40"",""1"",""0.934655687093761"""
"179,""asn"",""logistic_regression"",""4"",""0.95"",""2"",""1"",""0.928437000972878"""
"180,""asn"",""logistic_regression"",""4"",""0.95"",""16"",""1"",""0.92829220715184"""
"181,""asn"",""logistic_regression"",""4"",""0.99"",""35"",""1"",""0.933634970026527"""
"182,""smote"",""logistic_regression"",""4"",""0.99"",""12"",""1"",""0.942248373853757"""
"183,""asn"",""logistic_regression"",""4"",""0.8"",""16"",""1"",""0.926637168694446"""
"184,""smote"",""logistic_regression"",""4"",""0.8"",""16"",""1"",""0.943325574769395"""
"185,""asn"",""xgboost"",""4"",""0.9"",""40"",""1"",""0.922648177165106"""
"186,""smote"",""logistic_regression"",""4"",""0.8"",""2"",""1"",""0.941009037497373"""
"187,""smote"",""xgboost"",""4"",""0.85"",""50"",""1"",""0.937726523533989"""
"188,""smote"",""xgboost"",""4"",""0.99"",""12"",""1"",""0.943450164085194"""
"189,""smote"",""xgboost"",""4"",""0.99"",""35"",""1"",""0.945275401128504"""
"190,""asn"",""logistic_regression"",""4"",""0.99"",""70"",""1"",""0.930148937093348"""
"191,""asn"",""logistic_regression"",""4"",""0.85"",""12"",""1"",""0.925109211265633"""
"43,""smote"",""xgboost"",""4"",""0.8"",""20"",""1"",""0.929028830497744"""
"44,""asn"",""logistic_regression"",""4"",""0.9"",""6"",""1"",""0.927813811209692"""
"45,""asn"",""xgboost"",""4"",""0.8"",""12"",""1"",""0.920409231514262"""
"46,""smote"",""logistic_regression"",""4"",""0.95"",""20"",""1"",""0.939203198506519"""
"47,""smote"",""logistic_regression"",""4"",""0.99"",""60"",""1"",""0.939828577719947"""
"48,""asn"",""xgboost"",""4"",""0.9"",""50"",""1"",""0.920532235079392"""
"49,""asn"",""logistic_regression"",""4"",""0.95"",""12"",""1"",""0.928383823390771"""
"50,""smote"",""xgboost"",""4"",""0.99"",""8"",""1"",""0.941808267991981"""
"51,""asn"",""xgboost"",""4"",""0.8"",""2"",""1"",""0.921637547505329"""
"52,""asn"",""logistic_regression"",""4"",""0.85"",""2"",""1"",""0.925224100289902"""
"53,""asn"",""logistic_regression"",""4"",""0.9"",""40"",""1"",""0.922763195456755"""
"54,""smote"",""xgboost"",""4"",""0.9"",""30"",""1"",""0.931655472586316"""
"55,""smote"",""xgboost"",""4"",""0.8"",""50"",""1"",""0.935138734198517"""
"56,""smote"",""xgboost"",""4"",""0.95"",""25"",""1"",""0.934150374945328"""
